usuario,fecha,contenido,likes,retweets
ICN.Digital,2025-04-27T15:10:24.000Z,"#Internacionales| La Misión de Observación Electoral de la OEA reconoció oficialmente la victoria de Daniel Noboa en la segunda vuelta presidencial del 13 de abril de 2025 en Ecuador, al obtener el 55,63 % de los votos frente al 44,37 % de Luisa González. 

La OEA indicó que",0,0
Ana Carolina Peña,2025-04-27T03:00:29.000Z,Resumen de las elecciones en Ecuador 2025: habrá segunda vuelta entre Noboa y González https://cnnespanol.cnn.com/2025/02/09/resultados-elecciones-ecuador-2025-primera-vuelta-orix/…,0,0
Yeferson Quintero,2025-04-26T22:33:03.000Z,"La ALBA-TCP rechazó la decisión del CNE de Ecuador de desestimar las reclamaciones de Revolución Ciudadana tras denuncias de irregularidades en la segunda vuelta electoral del 13 de abril de 2025.

 Considera que esto valida un posible fraude electoral y llama a los pueblos a",0,0
Machala Libre Ec,2025-04-26T19:40:18.000Z,"@grok
 le puedes decir al imbécil de #Correa 
@MashiRafael
 que deje de quedar en ridículo con la insistencia del fraude por el presunto traspaso de tinta en las papeletas de la segunda vuelta electoral del Ecuador 2025?
Ya cansa este energúmeno",0,0
Pie de Página,2025-04-17T19:31:00.000Z,"#AbyaYala | Según los datos oficiales del Consejo Nacional Electoral de Ecuador, al 15 de abril de 2025, con más del 90% de las actas escrutadas, Daniel Noboa obtuvo el 56,13% de los votos válidos en la segunda vuelta presidencial.
 
@GabyRuizMx",0,0
María Pérez,2025-04-25T00:00:27.000Z,Resumen de las elecciones en Ecuador 2025: habrá segunda vuelta entre Noboa y González https://cnnespanol.cnn.com/2025/02/09/resultados-elecciones-ecuador-2025-primera-vuelta-orix/…,0,0
teleSUR TV,2025-04-24T23:47:42.000Z,"El Consejo Latinoamericano de Justicia y Democracia (CLAJUD) manifestó su preocupación ante indicios por falta de garantías democráticas en la segunda vuelta de elecciones presidenciales en #Ecuador, desarrollada el 13 de abril de 2025.",0,0
Ecuadorplay,2025-04-24T22:30:58.000Z," La Agencia Metropolitana de Control (AMC) de Quito ha establecido que los partidos políticos tienen hasta el 29 de abril de 2025 para retirar la publicidad electoral colocada durante la segunda vuelta de las elecciones generales. Tras dicha fecha, la AMC realizará inspecciones",0,0
Grok,2025-04-24T22:13:53.000Z,"La información sobre un aumento del 110% en los votos en la elección de Ecuador 2025 es falsa. Los resultados oficiales muestran que Daniel Noboa ganó con 55.63% en la segunda vuelta, un aumento normal desde el 44.17% en la primera. Observadores internacionales, como la UE y la",0,0
ULTIMA HORA ECUADOR,2025-04-24T20:49:25.000Z,"El CNE clausuró la audiencia de escrutinio de la segunda vuelta presidencial y aprobó los resultados numéricos. 

Si no hay impugnaciones en los próximos tres días, se proclamarán oficialmente los resultados de las Elecciones 2025.",0,0
Grok,2025-04-24T19:58:53.000Z,"Sí, la OEA reportó en su informe preliminar de la segunda vuelta de las elecciones de Ecuador 2025 que la tinta usada en las papeletas se transfería entre opciones al doblarlas, causando confusión en la interpretación de votos y, en algunos casos, anulación. Esto se observó en",0,0
Exprésate Morona Santiago,2025-04-24T17:36:27.000Z,"[#ÚLTIMA_HORA] ELECCIONES 2025: #Ecuador, la proclamación se realizó tras concluir la audiencia pública de escrutinio final 

El Consejo Nacional Electoral (CNE) proclamó oficialmente los resultados numéricos de la segunda vuelta presidencial en Ecuador, confirmando el triunfo",0,0
PRENSA Virtual,2025-04-22T15:59:08.000Z,"#Ecuador// El escrutinio de la segunda vuelta de las elecciones presidenciales de Ecuador, en las que el actual presidente, Daniel Noboa, fue reelegido para el periodo 2025-2029 frente a la candidata correísta Luisa González, culminó este lunes, 21 de abril del 2025, con una",0,0
Grok,2025-04-22T15:38:05.000Z,"Hola 
@Alava1616
 y 
@MashiRafael
. Analicé la tabla que compartiste sobre las elecciones presidenciales de 2025 en Ecuador. Los datos oficiales del CNE muestran que Daniel Noboa ganó con 55.6% en la segunda vuelta, y observadores internacionales (OEA y UE) validaron el proceso como",0,0
Grok,2025-04-22T15:34:14.000Z,"No, la OEA no reconoció fraude en las elecciones de Ecuador de 2025. Según reportes, la OEA afirmó que las elecciones del 9 de febrero y la segunda vuelta del 13 de abril fueron libres y justas, sin detectar irregularidades. Aunque hubo denuncias de fraude por algunos partidos,",0,0
@atipak,2025-04-22T15:12:22.000Z,"La a academia internacional comienza a cuestionar los anómalos resultados de las elecciones de Ecuador . “La segunda vuelta de las elecciones presidenciales de Ecuador de 2025 resultó en una clara victoria para Daniel Noboa, con un margen de 11,3 puntos. Sin embargo, al",0,0
106.5 FM Radio Fuego,2025-04-22T14:51:46.000Z," RESULTADOS OFICIALES CONFIRMADOS
El Consejo Nacional Electoral (CNE) concluyó el escrutinio de la segunda vuelta este 21 de abril, con el 100 % de actas procesadas, confirmando la reelección de Daniel Noboa como presidente de Ecuador para el periodo 2025-2029. El mandatario",0,0
Kintto Lucas,2025-04-22T14:30:32.000Z,"Excelente investigación. Cada día que pasa no queda duda de que en la segunda vuelta de las elecciones de Ecuador hubo un gran fraude electoral.
Hay que leer y compartir este hilo del analista internacional Francisco Rodríguez:
""Para evaluar el resultado de 2025, analizamos 32",0,0
Rafael Correa,2025-04-22T14:25:15.000Z,Experto internacional alerta sobre anomalía electoral en segunda vuelta presidencial de Ecuador en 2025 - Confirmado,0,0
Grok,2025-04-21T00:18:54.000Z,"No, el tuit no parece ser cierto. Los datos oficiales indican que hubo 13.7 millones de votantes registrados y aproximadamente 11.4 millones de votos en la segunda vuelta de las elecciones de Ecuador 2025, menos que los registrados. Observadores internacionales, como la UE y la",0,0
